ClassPriors	56,44,0.56,0.44
aggressively	3,2,0.000152098965727,8.23214653221e-05
agree	2,3,0.000101399310485,0.000123482197983
agreed	3,1,0.000152098965727,4.1160732661e-05
agreement	13,5,0.00065909551815,0.000205803663305
agreements	4,1,0.000202798620969,4.1160732661e-05
air	4,4,0.000202798620969,0.000164642930644
airport	3,1,0.000152098965727,4.1160732661e-05
akkabay	1,5,5.06996552423e-05,0.000205803663305
al	1,3,5.06996552423e-05,0.000123482197983
albuquerque	3,1,0.000152098965727,4.1160732661e-05
alex	5,1,0.000253498276212,4.1160732661e-05
alhaji	1,3,5.06996552423e-05,0.000123482197983
all	37,76,0.00187588724397,0.00312821568224
allen	5,2,0.000253498276212,8.23214653221e-05
allocated	3,1,0.000152098965727,4.1160732661e-05
allocating	3,1,0.000152098965727,4.1160732661e-05
allocation	7,1,0.000354897586696,4.1160732661e-05
allocations	5,1,0.000253498276212,4.1160732661e-05
allow	8,6,0.000405597241939,0.000246964395966
allows	3,2,0.000152098965727,8.23214653221e-05
almost	1,4,5.06996552423e-05,0.000164642930644
alone	1,3,5.06996552423e-05,0.000123482197983
along	1,5,5.06996552423e-05,0.000205803663305
alpra	1,3,5.06996552423e-05,0.000123482197983
already	9,6,0.000456296897181,0.000246964395966
also	29,29,0.00147029000203,0.00119366124717
although	3,2,0.000152098965727,8.23214653221e-05
always	1,11,5.06996552423e-05,0.000452768059271
am	68,20,0.00344757655648,0.000823214653221
amadol	1,3,5.06996552423e-05,0.000123482197983
amb	1,3,5.06996552423e-05,0.000123482197983
ambien	1,3,5.06996552423e-05,0.000123482197983
americ	1,3,5.06996552423e-05,0.000123482197983
america	15,2,0.000760494828635,8.23214653221e-05
american	1,3,5.06996552423e-05,0.000123482197983
amitava	5,1,0.000253498276212,4.1160732661e-05
among	5,4,0.000253498276212,0.000164642930644
amortize	5,1,0.000253498276212,4.1160732661e-05
amount	5,4,0.000253498276212,0.000164642930644
amounts	1,3,5.06996552423e-05,0.000123482197983
amy	1,3,5.06996552423e-05,0.000123482197983
an	31,48,0.00157168931251,0.00197571516773
analysis	4,1,0.000202798620969,4.1160732661e-05
analyst	2,2,0.000101399310485,8.23214653221e-05
ancillary	1,3,5.06996552423e-05,0.000123482197983
and	279,393,0.0141452038126,0.0161761679358
andrea	4,1,0.000202798620969,4.1160732661e-05
angelova	5,1,0.000253498276212,4.1160732661e-05
angels	1,3,5.06996552423e-05,0.000123482197983
anita	3,1,0.000152098965727,4.1160732661e-05
annie	1,3,5.06996552423e-05,0.000123482197983
announcement	2,7,0.000101399310485,0.000288125128627
announcements	4,2,0.000202798620969,8.23214653221e-05
another	7,10,0.000354897586696,0.00041160732661
answer	1,8,5.06996552423e-05,0.000329285861288
answering	1,4,5.06996552423e-05,0.000164642930644
answers	1,8,5.06996552423e-05,0.000329285861288
any	37,42,0.00187588724397,0.00172875077176
anyhow	5,2,0.000253498276212,8.23214653221e-05
anyone	3,6,0.000152098965727,0.000246964395966
anything	5,8,0.000253498276212,0.000329285861288
anyway	2,2,0.000101399310485,8.23214653221e-05
anywhere	1,4,5.06996552423e-05,0.000164642930644
anz	1,3,5.06996552423e-05,0.000123482197983
aol	3,5,0.000152098965727,0.000205803663305
apart	1,3,5.06996552423e-05,0.000123482197983
apoligize	3,1,0.000152098965727,4.1160732661e-05
apologies	2,2,0.000101399310485,8.23214653221e-05
apologize	3,2,0.000152098965727,8.23214653221e-05
apparently	2,2,0.000101399310485,8.23214653221e-05
appeals	1,5,5.06996552423e-05,0.000205803663305
appear	6,3,0.000304197931454,0.000123482197983
appearance	2,2,0.000101399310485,8.23214653221e-05
